LANP_label,ENG_label,AgeGroup,ST_label,n
Spanish,Well,Youth,Pennsylvania/PA,18288
Armenian,Not well,Adult,California/CA,18211
Hindi,Very well,Youth,California/CA,18172
Farsi,Very well,Adult,Texas/TX,18098
Pennsylvania German,Very well,Adult,Ohio/OH,18096
Cantonese,Very well,Youth,California/CA,18082
Russian,Very well,Adult,Pennsylvania/PA,18075
Spanish,Very well,Senior,Georgia/GA,17899
Portuguese,Well,Adult,New Jersey/NJ,17842
German,Very well,Adult,Pennsylvania/PA,17774
German,Very well,Adult,Michigan/MI,17734
Arabic,Very well,Adult,Massachusetts/MA,17693
Chinese,Well,Adult,Washington/WA,17573
Bengali,Very well,Adult,California/CA,17545
Italian,Well,Senior,New York/NY,17539
Spanish,Very well,Senior,Virginia/VA,17434
Punjabi,Very well,Youth,California/CA,17399
Spanish,Not well,Adult,Iowa/IA,17346
Arabic,Very well,Adult,Pennsylvania/PA,17306
Filipino,Very well,Adult,Texas/TX,17242
Spanish,Not at all,Adult,Oregon/OR,17230
Telugu,Very well,Adult,Virginia/VA,17086
Korean,Well,Adult,New Jersey/NJ,17050
Spanish,Very well,Senior,Washington/WA,17034
Korean,Very well,Adult,Georgia/GA,17031
Cantonese,Not well,Adult,New York/NY,16944
Spanish,Well,Adult,Idaho/ID,16911
Chinese,Very well,Adult,Florida/FL,16908
Chinese,Well,Adult,New Jersey/NJ,16886
Spanish,Well,Adult,Iowa/IA,16878
Italian,Very well,Adult,Florida/FL,16774
Polish,Not well,Adult,Illinois/IL,16759
French,Very well,Senior,New York/NY,16723
Mandarin,Well,Adult,New York/NY,16603
Spanish,Well,Youth,Virginia/VA,16494
Spanish,Not well,Adult,Kentucky/KY,16466
Yoruba,Very well,Adult,Maryland/MD,16463
Marathi,Very well,Adult,California/CA,16411
Russian,Very well,Adult,Massachusetts/MA,16354
Cantonese,Well,Adult,New York/NY,16300
French,Very well,Youth,California/CA,16238
Vietnamese,Very well,Adult,Virginia/VA,16167
Tagalog,Very well,Adult,Hawaii/HI,16142
Cantonese,Not at all,Adult,California/CA,16133
Russian,Well,Senior,New York/NY,16039
Chinese,Well,Youth,New York/NY,16035
Spanish,Well,Youth,Maryland/MD,15910
Arabic,Not well,Adult,Michigan/MI,15840
Farsi,Very well,Senior,California/CA,15770
Mandarin,Not well,Senior,California/CA,15668
Arabic,Not well,Adult,California/CA,15611
Greek,Very well,Adult,Illinois/IL,15543
French,Very well,Adult,North Carolina/NC,15468
Spanish,Not well,Youth,Illinois/IL,15432
Spanish,Very well,Senior,North Carolina/NC,15428
Korean,Very well,Adult,Illinois/IL,15323
Polish,Well,Adult,New York/NY,15321
Vietnamese,Well,Adult,Washington/WA,15243
Farsi,Very well,Youth,California/CA,15233
Hindi,Very well,Adult,Michigan/MI,15221
German,Very well,Adult,Virginia/VA,15198
Ilocano,Well,Adult,Hawaii/HI,15153
Spanish,Not well,Adult,Missouri/MO,15112
Spanish,Well,Youth,Colorado/CO,15086
Mandarin,Not well,Adult,New York/NY,15047
Russian,Very well,Adult,Texas/TX,15045
Yiddish,Not well,Youth,New York/NY,15038
Urdu,Well,Adult,New York/NY,14973
Punjabi,Very well,Adult,New York/NY,14899
Spanish,Not well,Adult,Rhode Island/RI,14866
Spanish,Very well,Senior,Massachusetts/MA,14821
French,Very well,Adult,Washington/WA,14810
Japanese,Very well,Senior,California/CA,14766
Chinese,Well,Adult,Illinois/IL,14707
Malayalam,Very well,Adult,New York/NY,14677
Spanish,Not well,Youth,New Jersey/NJ,14660
Korean,Well,Adult,Texas/TX,14656
German,Very well,Adult,Indiana/IN,14599
Italian,Very well,Adult,Pennsylvania/PA,14590
Thai,Very well,Adult,California/CA,14583
Mandarin,Very well,Adult,Washington/WA,14524
Hindi,Very well,Adult,Ohio/OH,14496
Spanish,Very well,Adult,New Hampshire/NH,14448
Hawaiian,Very well,Adult,Hawaii/HI,14437
Portuguese,Very well,Adult,Connecticut/CT,14416
Spanish,Not at all,Adult,Tennessee/TN,14396
Amharic,Very well,Adult,Maryland/MD,14394
Korean,Very well,Adult,Maryland/MD,14356
Spanish,Not well,Adult,Idaho/ID,14327
Japanese,Very well,Youth,California/CA,14326
Khmer,Well,Adult,California/CA,14281
Tagalog,Very well,Adult,Maryland/MD,14274
Chinese,Well,Adult,Pennsylvania/PA,14231
Filipino,Very well,Adult,New York/NY,14207
Vietnamese,Well,Adult,Florida/FL,14201
Indonesian,Very well,Adult,California/CA,14194
Armenian,Not well,Senior,California/CA,14176
German,Very well,Adult,Washington/WA,14123
Vietnamese,Not well,Senior,Texas/TX,14089
Amharic,Very well,Adult,Virginia/VA,14077
Spanish,Very well,Adult,Alaska/AK,14066
Aleut languages,Very well,Adult,Alaska/AK,13962
Spanish,Well,Youth,Massachusetts/MA,13875
Vietnamese,Very well,Adult,Massachusetts/MA,13844
Spanish,Very well,Youth,Delaware/DE,13842
Vietnamese,Very well,Adult,Georgia/GA,13798
Telugu,Very well,Adult,Illinois/IL,13781
Spanish,Very well,Senior,Michigan/MI,13746
Chinese,Very well,Adult,Michigan/MI,13740
Kannada,Very well,Adult,California/CA,13740
Hmong,Well,Adult,California/CA,13604
Spanish,Well,Youth,Nevada/NV,13584
Mandarin,Very well,Adult,New Jersey/NJ,13518
