"household_language","state","speakers","total_speakers_by_language","percent_speakers","total_speakers_by_state","percent_speakers_by_state"
"German","Indiana",42803,1379830,3.1,6051758,0.71
"German","Iowa",14276,1379830,1.03,2869061,0.5
"German","Kansas",15750,1379830,1.14,2631827,0.6
"German","Kentucky",19297,1379830,1.4,3999146,0.48
"German","Louisiana",6806,1379830,0.49,3954844,0.17
"German","Maine",5022,1379830,0.36,1231579,0.41
"German","Maryland",25811,1379830,1.87,5533146,0.47
"German","Massachusetts",26347,1379830,1.91,6355905,0.41
"German","Michigan",55042,1379830,3.99,9080289,0.61
"German","Minnesota",31086,1379830,2.25,5150715,0.6
"German","Mississippi",5025,1379830,0.36,2541044,0.2
"German","Missouri",26804,1379830,1.94,5508462,0.49
